Oob  Type                            Admin
                                     State
---  ------------------------------  -----
oob  Out-Of-Band                     Up


Port    Description                    MTU   Admin
Channel                                      State
------- ------------------------------ ----- -----
Te1/0/17                            1     N/A    Unknown Auto Down   Inactive
Te1/0/18                            1     N/A    Unknown Auto Down   Inactive
Te1/0/19                            1     N/A    Unknown Auto Down   Inactive
Te1/0/20                            1     N/A    Unknown Auto Down   Inactive
Te1/0/21                            1     N/A    Unknown Auto Down   Inactive
Te1/0/22                            1     N/A    Unknown Auto Down   Inactive
Te1/0/23                            1     N/A    Unknown Auto Down   Inactive
Te1/0/24                            1     N/A    Unknown Auto Down   Inactive
Fo1/1/1                             1     Full   40000   Off  Down   Inactive
Fo1/1/2                             1     Full   40000   Off  Down   Inactive
Te1/1/1                             N/A   N/A    N/A     N/A  Detach N/A
Te1/1/2                             N/A   N/A    N/A     N/A  Detach N/A
Te1/1/3                             N/A   N/A    N/A     N/A  Detach N/A
Te1/1/4                             N/A   N/A    N/A     N/A  Detach N/A
Te1/1/5                             N/A   N/A    N/A     N/A  Detach N/A
Te1/1/6                             N/A   N/A    N/A     N/A  Detach N/A
Te1/1/7                             N/A   N/A    N/A     N/A  Detach N/A
Te1/1/8                             N/A   N/A    N/A     N/A  Detach N/A


Oob  Type                            Link
                                     State
---  ------------------------------  -----
oob  Out-Of-Band                     Up


Port    Description                    Vlan  Link
Channel                                      State
------- ------------------------------ ----- -------
Po1                                    1     Down

QA_N4032F#show mac address-table

Aging time is 300 Sec

Vlan     Mac Address           Type        Port
-------- --------------------- ----------- ---------------------
1        F8B1.562C.9F8D        Management  Vl1
2000     F8B1.562C.9F8D        Management  Vl2000

Total MAC Addresses in use: 2

QA_N4032F#
